fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
Fr.Templeton MF,Plywood Boards/Laminates,0.09,0.07,2026-04-01,2026-05-01
Fr.Templeton MF,Power,4.23,4.2,2026-04-01,2026-05-01
Fr.Templeton MF,Quick Service Restaurant,0.74,0.59,2026-04-01,2026-05-01
Fr.Templeton MF,Real Estate Investment Trusts,0.3,0.3,2026-04-01,2026-05-01
Fr.Templeton MF,Telecom/Media,3.29,3.44,2026-04-01,2026-05-01
Groww MF,Aerospace & Defence,1.17,1.04,2026-04-01,2026-05-01
Groww MF,Auto & Auto Ancillaries,7.91,8.63,2026-04-01,2026-05-01
Groww MF,Banks,29.52,30.73,2026-04-01,2026-05-01
Groww MF,Building materials,2.46,2.21,2026-04-01,2026-05-01
Groww MF,Chemicals,0.98,1.06,2026-04-01,2026-05-01
Groww MF,Co-Working,0.65,0.3,2026-04-01,2026-05-01
Groww MF,Consumer Durables,0.45,0.69,2026-04-01,2026-05-01
Groww MF,Consumer Goods,3.66,4.03,2026-04-01,2026-05-01
Groww MF,Engineering & Capital Goods,1.99,2.16,2026-04-01,2026-05-01
Groww MF,Financial Services,2.61,3.35,2026-04-01,2026-05-01
Groww MF,Financial services/Insurance,15.78,13.45,2026-04-01,2026-05-01
Groww MF,Infra/Real estate,7.95,7.2,2026-04-01,2026-05-01
Groww MF,IT,7.14,7.42,2026-04-01,2026-05-01
Groww MF,Metals & Mining,2.63,3.38,2026-04-01,2026-05-01
Groww MF,Miscellaneous,2.02,1.61,2026-04-01,2026-05-01
Groww MF,Oil/Energy,2.24,2.31,2026-04-01,2026-05-01
Groww MF,Pharma/healthcare,6.13,5.57,2026-04-01,2026-05-01
Groww MF,Power,1.26,1.17,2026-04-01,2026-05-01
Groww MF,Telecom/Media,3.46,3.69,2026-04-01,2026-05-01
HDFC Mutual Fund,Aerospace & Defence,1.95,2.03,2026-04-01,2026-05-01
HDFC Mutual Fund,Auto & Auto Ancillaries,11.89,12.06,2026-04-01,2026-05-01
HDFC Mutual Fund,Banks,24.26,23.7,2026-04-01,2026-05-01
HDFC Mutual Fund,Building materials,1.74,1.8,2026-04-01,2026-05-01
HDFC Mutual Fund,Chemicals,1.19,1.16,2026-04-01,2026-05-01
HDFC Mutual Fund,Co-Working,0.13,0.13,2026-04-01,2026-05-01
HDFC Mutual Fund,Consumer Durables,1.78,1.68,2026-04-01,2026-05-01
HDFC Mutual Fund,Consumer Goods,6.15,6.18,2026-04-01,2026-05-01
HDFC Mutual Fund,Engineering & Capital Goods,2.04,2.14,2026-04-01,2026-05-01
HDFC Mutual Fund,Financial Services,0.2,0.16,2026-04-01,2026-05-01
HDFC Mutual Fund,Financial services/Insurance,5.86,5.91,2026-04-01,2026-05-01
HDFC Mutual Fund,Infra/Real estate,6.23,6.3,2026-04-01,2026-05-01
HDFC Mutual Fund,IT,9.16,9.35,2026-04-01,2026-05-01
HDFC Mutual Fund,Metals & Mining,2.88,2.79,2026-04-01,2026-05-01
HDFC Mutual Fund,Miscellaneous,2.23,2.32,2026-04-01,2026-05-01
HDFC Mutual Fund,Oil/Energy,4.53,4.36,2026-04-01,2026-05-01
HDFC Mutual Fund,Pharma/healthcare,10.51,10.87,2026-04-01,2026-05-01
HDFC Mutual Fund,Plywood Boards/Laminates,0.12,0.09,2026-04-01,2026-05-01
HDFC Mutual Fund,Power,2.36,2.19,2026-04-01,2026-05-01
HDFC Mutual Fund,Printing & Stationery,0.07,0.07,2026-04-01,2026-05-01
HDFC Mutual Fund,Quick Service Restaurant,0.35,0.35,2026-04-01,2026-05-01
HDFC Mutual Fund,Real Estate Investment Trusts,0.97,0.96,2026-04-01,2026-05-01
HDFC Mutual Fund,Telecom/Media,3.39,3.4,2026-04-01,2026-05-01
Helios MF,Aerospace & Defence,3.81,4.01,2026-04-01,2026-05-01
Helios MF,Auto & Auto Ancillaries,6.05,3.94,2026-04-01,2026-05-01
Helios MF,Banks,15.56,13.83,2026-04-01,2026-05-01
Helios MF,Building materials,0.01,0.01,2026-04-01,2026-05-01
Helios MF,Consumer Durables,0.0,1.95,2026-04-01,2026-05-01
Helios MF,Consumer Goods,6.7,5.58,2026-04-01,2026-05-01
Helios MF,Engineering & Capital Goods,4.56,4.54,2026-04-01,2026-05-01
Helios MF,Financial Services,4.27,5.01,2026-04-01,2026-05-01
Helios MF,Financial services/Insurance,14.79,14.54,2026-04-01,2026-05-01
Helios MF,Infra/Real estate,10.78,10.72,2026-04-01,2026-05-01
Helios MF,IT,8.69,8.44,2026-04-01,2026-05-01
Helios MF,Metals & Mining,1.01,0.81,2026-04-01,2026-05-01
Helios MF,Miscellaneous,6.87,9.74,2026-04-01,2026-05-01
Helios MF,Oil/Energy,3.79,3.37,2026-04-01,2026-05-01
Helios MF,Pharma/healthcare,5.04,5.12,2026-04-01,2026-05-01
Helios MF,Power,4.25,4.72,2026-04-01,2026-05-01
Helios MF,Quick Service Restaurant,0.56,0.53,2026-04-01,2026-05-01
Helios MF,Real Estate Investment Trusts,0.08,0.08,2026-04-01,2026-05-01
Helios MF,Telecom/Media,3.19,3.06,2026-04-01,2026-05-01
HSBC Mutual Fund,Aerospace & Defence,3.05,2.71,2026-04-01,2026-05-01
HSBC Mutual Fund,Auto & Auto Ancillaries,5.64,5.83,2026-04-01,2026-05-01
HSBC Mutual Fund,Banks,14.01,13.42,2026-04-01,2026-05-01
HSBC Mutual Fund,Building materials,5.17,5.06,2026-04-01,2026-05-01
HSBC Mutual Fund,Chemicals,1.56,1.76,2026-04-01,2026-05-01
HSBC Mutual Fund,Co-Working,0.07,0.07,2026-04-01,2026-05-01
HSBC Mutual Fund,Consumer Durables,2.22,1.79,2026-04-01,2026-05-01
HSBC Mutual Fund,Consumer Goods,8.5,8.76,2026-04-01,2026-05-01
HSBC Mutual Fund,Engineering & Capital Goods,11.2,12.13,2026-04-01,2026-05-01
HSBC Mutual Fund,Financial Services,3.7,3.49,2026-04-01,2026-05-01
HSBC Mutual Fund,Financial services/Insurance,10.81,10.74,2026-04-01,2026-05-01
HSBC Mutual Fund,Infra/Real estate,5.23,4.79,2026-04-01,2026-05-01
HSBC Mutual Fund,IT,6.72,6.97,2026-04-01,2026-05-01
HSBC Mutual Fund,IT - Hardware,0.31,0.4,2026-04-01,2026-05-01
HSBC Mutual Fund,Metals & Mining,4.16,4.23,2026-04-01,2026-05-01
HSBC Mutual Fund,Miscellaneous,3.13,3.05,2026-04-01,2026-05-01
HSBC Mutual Fund,Oil/Energy,4.01,3.37,2026-04-01,2026-05-01
HSBC Mutual Fund,Pharma/healthcare,6.09,7.32,2026-04-01,2026-05-01
HSBC Mutual Fund,Plywood Boards/Laminates,0.14,0.13,2026-04-01,2026-05-01
HSBC Mutual Fund,Power,2.33,2.34,2026-04-01,2026-05-01
HSBC Mutual Fund,Printing & Stationery,0.03,0.03,2026-04-01,2026-05-01
HSBC Mutual Fund,Quick Service Restaurant,0.62,0.51,2026-04-01,2026-05-01
